"Brasão","Apelido","Origem","Variantes","Grafia arcaica","Versão castelhana"
"","Rios","","","","Ríos"
"","Robalinho","","","",""
"","Robalo","","","",""
"","Roçadas (muito raro)","toponímica","","",""
"","Rocha","","","",""
"","Rodovalho","","","",""
"","Rodrigues","patronímica","","","Rodríguez"
"","Rolim","","","",""
"","Roriz","","","",""
"","Rosa","","","","Rosa"
"","Rosado","","","",""
"","Rosário","religiosa","","","Rosario"
"","Rosmaninho","","","",""
"","Rua","","","","Rúa"
"","Ruas","","","",""
"","Ruela","","","",""
"","Rufino","","","",""
"","Sá","","","",""
"","Sabala","","","",""
"","Sabrosa","","","",""
"","Sacadura","toponímica","","","Secadura"
"","Sacramento","","","","Sacramento"
"","Salazar","","","","Salazar, Zalazar"
"","Saldanha","","","","Saldaña"
"","Sales","","","Salles",""
"","Salgado","","","",""
"","Salgueiro","","","","Salguero"
"","Salvado","","","",""
"","Saloio","","","",""
"","Salomão","","","","Salomón"
"","Saltão","","","",""
"","Sampaio","","","Sampayo",""
"","Sanches","patronímica","","","Sánchez"
"","Sandinha","","","",""
"","Santana","religiosa","Sant'Anna","","Santana"
"","Santarém","","","",""
"","Santiago","","","","Santiago"
"","Santos","religiosa","dos Santos","","de Los Santos"
"","Saraiva","","","","Saravia"
"","Sardinha","","","","Sardina"
"","Sardo","","","",""
"","Sarmento","","","","Sarmiento"
"","Seabra","","Siebra","","Sanabria"
"","Seixas","","","",""
"","Semedo","","","",""
"","Serpa","","","",""
"","Serralheiro","","","",""
"","Serro","","","",""
"","Sesimbra","","Cezimbra","",""
"","Setúbal","","","",""
"","Severiano","","","",""
"","Severo","","","",""
"","Silva","toponímica","","",""
"","Silveira","","","","Silvera"
"","Silvestre","","","","Silvestre"
"","Simas","","","",""
"","Simões","patronímica","","",""
"","Simão","","","","Simón"
"","Sintra","","Cintra","",""
"","Sítima","","","",""
"","Sequeira","","Siqueira","","Sequera"
"","Soares","patronímica","","","Suárez"
"","Sobral","","","",""
"","Sobreira","","","",""
"","Sodré","","","",""
"","Soeiro","","","",""
"","Sousa","","","Souza","Sosa"
"","Souto","","","","Soto"
"","Souto Maior","","","","Soto Mayor, Sotomayor"
"","Soveral","","","",""
"","Soverosa","","","",""
"","Tabanez","","Tavanês","",""
"","Taborda","","","",""
"","Tabosa","","","",""
"","Talhão","","","",""
"","Tavares","toponímica","","","Tabares"
"","Taveira","","","","Talavera"
"","Taveiros","","","",""
"","Távora","","","",""
"","Teixeira","toponímica","Teixeiras, Teixera, Texeira, Texera, Teixeiro (variante galega)","Teixeyra","Tejera"
"","Tedim","","","Thedim",""
"","Teles","patronímica","","Telles","Téllez"
"","Telinhos","","","",""
"","Temes","","","Themes",""
"","Teodoro","patronímica","","",""
"","Terra","","","",""
"","Teves","patronímica","","","Tévez"
"","Tigre","","","Tiguere",""
"","Tinoco","","","",""
"","Toledo","","","","Toledo"
"","Tomé","","","Thomé",""
"","Torquato","","Torcato","","Torcuato"
"","Torrado","","","","Torrado"
"","Torreiro","","","",""
"","Torres","","","","Torres"
"","Toscano","","","",""
"","Travassos","","","",""
"","Toste","","Tostes","",""
"","Trigueiro","","","",""
"","Trindade","religiosa","","","Trinidad"
"","Tristão","","","","Tristán"
"","Tuna","","","",""
"","Uchoa","","","","Ochoa"
"","Ulhoa","","","","Ulloa"
"","Úria","","","",""
"","Urias","","","",""
"","Valadão","","","",""
"","Valadares","toponímica","","Valladares","Valladares, Balladares"
"","Valadim","","","",""
"","Valcácer","","","",""
"","Valcanaia","","","",""
"","Vale","toponímica","","","Valle"
"","Valente","alcunha","","","Valiente"
"","Valentim","","","","Valentín"
"","Valério","","","","Valerio"
"","Valgueiro","","","",""
"","Valido","","","",""
"","Valim","","","",""
"","Valverde","","","",""
"","Varanda","","","","Baranda"
"","Varão","patronímica","","","Varón"
"","Varejão","","","",""
"","Varela","","","Varella","Varela"
"","Vargas","","","","Vargas"
"","Vasconcelos","","","Vasconcellos",""
"","Vasques","patronímica","","","Vásquez, Vázquez"
"","Vaz","patronímica","","Vaaz",""
"","Veiga","","","","Vega"
"","Velasco","","","","Velasco"
"","Velasques","patronímica","","","Velásquez, Velázquez"
"","Veleda","","","",""
"","Veloso","","Velosa, Veloza","Vellozo",""
"","Ventura","","","","Ventura"
"","Vergueiro","","","","Verguero"
"","Veríssimo","","","Verissimo",""
"","Viana","","","Vianna",""
"","Vidal","","","","Vidal"
"","Vides","","","",""
"","Vidigal","toponímica","","",""
"","Viegas","patronímico","","Villégas","Villegas"
"","Vieira","toponímica","","Vieyra","Viera"
"","Vigário","","","","Vicario"
"","Vila-Chã","","","",""
"","Vilaça","","","Villaça",""
"","Vilalobos","","","","Villalobos"
"","Vilanova","","","","Villanueva"
"","Vilante","toponímica","","Villante",""
"","Vilar","","","","Villar"
"","Vilariça","","","",""
"","Vilarinho","","Vilarim","",""
